Page, Total Adds
page_1, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6098418155,Mercedes-Benz Actros 1845 Bigspace Lowdeck,58 900 EUR,2019,463 249 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-lowdeck-ID6EIl99.html
6098331934,Mercedes-Benz 1845 Actros Bigspace Lowdeck,47 900 EUR,2018,553 671 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-actros-bigspace-lowdeck-ID6EHYIu.html
6099861499,Mercedes-Benz,73 500 EUR,2019,412 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-2019-rok-big-space-ID6EOoCT.html
6099515770,Mercedes-Benz Actros 1845,284 000 PLN,2020,148 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-stan-idealny-retarder-mercedes-benz-actros-1845-ID6EMVGC.html
6099389752,Mercedes-Benz Actros 1843*Euro 6*2015*Retarder*1 Tank,33 700 EUR,2015,382 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1843euro-62015retarder1-tank-1843-4x2-2015-rok-euro-6-z-francji-retarder-ID6EMpU4.html
6089392879,Mercedes-Benz ACTROS 1845 LSnRL,55 000 EUR,2017,342 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-lsnrl-niski-przebieg-opony-90-aso-ID6E6tgb.html

Page, Total Adds
page_2, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6099383345,Mercedes-Benz Actros MP 4,33 900 EUR,2015,650 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp-4-1848-z-hydraulikom-1845-ID6EMoeJ.html
6099445371,Mercedes-Benz ACTROS,170 000 PLN,2014,805 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-actros-2014-adr-fl-ID6EMEn9.html
6099859371,Mercedes-Benz ACTROS * 1845 BIG SPACE * SALONKA * STANDARD *,135 900 PLN,2015,890 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-big-space-salonka-standard-ID6EOo4z.html
6096165567,Mercedes-Benz ACTROS 1842 2015_AUTOMAT_SERWISOWANY_ZADBANY_STANDARD,122 000 PLN,2015,821 000 km,999 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1842-2015-automat-serwisowany-zadbany-standard-ID6EyT95.html
6098966507,Mercedes-Benz Actros,99 000 PLN,2014,944 876 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-actros-euro-6-low-deck-ID6EKDNx.html
6099857179,Mercedes-Benz 1848 Actros MP4 2016 / LEKKI,39 500 EUR,2016,600 000 km,1 300 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1848-actros-mp4-2016-lekki-ID6EOnwd.html
6099854661,Mercedes-Benz ACTROS 1845,295 000 PLN,2018,386 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-mercedes-actros-1845-standard-salon-pl-cesja-ID6EOmQB.html
6099852092,Mercedes-Benz ACTROS 1845 AUTOMAT /MEGA/LOWDECK/,289 000 PLN,2019,370 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-automat-mega-lowdeck-gliwice-ID6EOmba.html
6099143738,Mercedes-Benz Actros  MP 4,46 000 EUR,2017,537 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp-4-1845-standard-2017r-1848-ID6ELnU6.html
6099143485,Mercedes-Benz ACTROS 1848 EURO 6  // SUPER STAN // SERWISOWANY //,168 000 PLN,2016,498 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-euro-6-super-stan-serwisowany-auto-bednarczyk-pl-inne-w-ofercie-ID6ELnQ1.html
6098155193,Mercedes-Benz Actros MP4,115 000 PLN,2014,900 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-mercedes-actros-mp4-standard-euro-6-2014-rok-ID6EHeJP.html
6099848729,Mercedes-Benz ACTROS 1848 Giga-Space,99 900 EUR,2020,120 000 km,12 000 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-giga-space-ID6EOliW.html
6099494696,Mercedes-Benz 1845 Actros Euro 6 12809ccm - 449KM 18t 11-19,102 950 PLN,2016,848 197 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-actros-euro-6-12809ccm-449km-18t-11-19-pnt83031-ID6EMRcI.html
6098034311,Mercedes-Benz Actros 1845,74 000 EUR,2019,500 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-actros-1845-giga-space-pierwszy-wlasciciel-serwisowany-w-aso-ID6EGJi7.html
